Ciudad,Fecha,Temperatura
Bogotá,01/01/2021,13.2
Bogotá,02/01/2021,14.0
Bogotá,03/01/2021,10.9
Bogotá,04/01/2021,15.9
Bogotá,05/01/2021,13.9
Bogotá,06/01/2021,14.5
Bogotá,07/01/2021,10.4
Bogotá,08/01/2021,15.5
Bogotá,09/01/2021,16.7
Bogotá,10/01/2021,15.9
Bogotá,11/01/2021,12.7
Bogotá,12/01/2021,15.6
Bogotá,13/01/2021,17.4
Bogotá,14/01/2021,11.8
Bogotá,15/01/2021,16.0
Bogotá,16/01/2021,14.0
Bogotá,17/01/2021,12.4
Bogotá,18/01/2021,15.6
Bogotá,19/01/2021,16.6
Bogotá,20/01/2021,14.4
Bogotá,21/01/2021,11.6
Bogotá,22/01/2021,12.5
Bogotá,23/01/2021,15.1
Bogotá,24/01/2021,10.9
Bogotá,25/01/2021,14.2
Bogotá,26/01/2021,10.7
Bogotá,27/01/2021,12.7
Bogotá,28/01/2021,12.9
Bogotá,29/01/2021,12.8
Bogotá,30/01/2021,14.6
Bogotá,31/01/2021,11.8
Bogotá,01/02/2021,17.9
Bogotá,02/02/2021,14.6
Bogotá,03/02/2021,13.4
Bogotá,04/02/2021,13.2
Bogotá,05/02/2021,13.0
Bogotá,06/02/2021,10.8
Bogotá,07/02/2021,11.8
Bogotá,08/02/2021,14.0
Bogotá,09/02/2021,14.4
Bogotá,10/02/2021,14.5
Bogotá,11/02/2021,11.8
Bogotá,12/02/2021,10.6
Bogotá,13/02/2021,14.6
Bogotá,14/02/2021,14.9
Bogotá,15/02/2021,15.2
Bogotá,16/02/2021,13.9
Bogotá,17/02/2021,14.4
Bogotá,18/02/2021,11.4
Bogotá,19/02/2021,12.1
Bogotá,20/02/2021,14.2
Bogotá,21/02/2021,17.4
Bogotá,22/02/2021,10.2
Bogotá,23/02/2021,15.7
Bogotá,24/02/2021,17.1
Bogotá,25/02/2021,16.1
Bogotá,26/02/2021,12.7
Bogotá,27/02/2021,17.6
Bogotá,28/02/2021,17.1
Bogotá,01/03/2021,17.9
Bogotá,02/03/2021,12.9
Bogotá,03/03/2021,16.9
Bogotá,04/03/2021,14.0
Bogotá,05/03/2021,12.2
Bogotá,06/03/2021,11.2
Bogotá,07/03/2021,14.0
Bogotá,08/03/2021,10.2
Bogotá,09/03/2021,12.1
Bogotá,10/03/2021,14.7
Bogotá,11/03/2021,12.9
Bogotá,12/03/2021,13.9
Bogotá,13/03/2021,15.4
Bogotá,14/03/2021,17.1
Bogotá,15/03/2021,16.9
Bogotá,16/03/2021,13.0
Bogotá,17/03/2021,16.0
Bogotá,18/03/2021,10.8
Bogotá,19/03/2021,11.7
Bogotá,20/03/2021,13.9
Bogotá,21/03/2021,13.3
Bogotá,22/03/2021,14.6
Bogotá,23/03/2021,15.1
Bogotá,24/03/2021,11.5
Bogotá,25/03/2021,16.2
Bogotá,26/03/2021,10.4
Bogotá,27/03/2021,12.2
Bogotá,28/03/2021,16.6
Bogotá,29/03/2021,10.1
Bogotá,30/03/2021,16.4
Bogotá,31/03/2021,11.8
Bogotá,01/04/2021,14.4
Bogotá,02/04/2021,13.6
Bogotá,03/04/2021,16.5
Bogotá,04/04/2021,11.4
Bogotá,05/04/2021,11.1
Bogotá,06/04/2021,16.3
Bogotá,07/04/2021,14.7
Bogotá,08/04/2021,15.4
Bogotá,09/04/2021,11.6
Bogotá,10/04/2021,14.7
Bogotá,11/04/2021,11.9
Bogotá,12/04/2021,12.4
Bogotá,13/04/2021,10.1
Bogotá,14/04/2021,15.0
Bogotá,15/04/2021,12.1
Bogotá,16/04/2021,17.6
Bogotá,17/04/2021,12.2
Bogotá,18/04/2021,13.8
Bogotá,19/04/2021,15.5
Bogotá,20/04/2021,11.0
Bogotá,21/04/2021,11.0
Bogotá,22/04/2021,14.5
Bogotá,23/04/2021,15.6
Bogotá,24/04/2021,12.6
Bogotá,25/04/2021,17.8
Bogotá,26/04/2021,15.9
Bogotá,27/04/2021,13.2
Bogotá,28/04/2021,16.2
Bogotá,29/04/2021,16.9
Bogotá,30/04/2021,16.4
Bogotá,01/05/2021,11.3
Bogotá,02/05/2021,16.4
Bogotá,03/05/2021,16.7
Bogotá,04/05/2021,11.5
Bogotá,05/05/2021,14.1
Bogotá,06/05/2021,11.6
Bogotá,07/05/2021,11.6
Bogotá,08/05/2021,15.8
Bogotá,09/05/2021,13.2
Bogotá,10/05/2021,10.7
Bogotá,11/05/2021,15.4
Bogotá,12/05/2021,15.3
Bogotá,13/05/2021,11.5
Bogotá,14/05/2021,16.3
Bogotá,15/05/2021,13.3
Bogotá,16/05/2021,17.1
Bogotá,17/05/2021,17.9
Bogotá,18/05/2021,17.5
Bogotá,19/05/2021,15.7
Bogotá,20/05/2021,14.3
Bogotá,21/05/2021,17.6
Bogotá,22/05/2021,11.8
Bogotá,23/05/2021,15.6
Bogotá,24/05/2021,11.8
Bogotá,25/05/2021,11.9
Bogotá,26/05/2021,13.0
Bogotá,27/05/2021,13.1
Bogotá,28/05/2021,13.4
Bogotá,29/05/2021,10.6
